DS-COM-001 追加补采结果（asOf 2026-08-28）
============================================================
总盘数：205 盘

已网签：精确 54 / 约数 41 / 售完 3 / 未知 107

可售：精确 45 / 约数 49 / 售完 12 / 未知 99

格式：区|楼盘|已网签|可售|来源
丰台区|招商臻园|未知（平台未单列网签套数）|未知（在售，可售未单列）|https://newhouse.fang.com/loupan/1010194093.htm
丰台区|时代中心|未知（商办公寓，平台未单列网签套数）|未知（商办余房在售，可售未单列）|https://fangjia.fang.com/bj/1460351.html
丰台区|燕西华府|未知（别墅，平台未单列网签套数）|未知（别墅在售，可售未单列）|https://newhouse.fang.com/loupan/1010696195.htm
丰台区|首开璞瑅隐园|未知（平台未单列网签套数）|未知（在售，可售未单列）|https://newhouse.fang.com/loupan/1010773987.htm
大兴区|中国铁建智慧港|未知（商办公寓，平台未单列网签套数）|未知（商办余房在售，可售未单列）|https://fangjia.fang.com/bj/1480622.html
大兴区|中铁兴创·逸境|未知（平台未单列网签套数）|未知（现房尾盘，可售未单列）|https://newhouse.fang.com/loupan/1010185783.htm
大兴区|中骏金辉·宸院|约450套（房猫猫网签口径，平台未单列精确）|约100余套（余房在售，平台未单列精确）|https://fangmaomao.cn/loupan/%E4%B8%AD%E9%AA%8F%E9%87%91%E8%BE%89%E5%AE%81%E9%99%A2
大兴区|中骏金辉·未来云城|未知（平台未单列网签套数）|未知（现房尾盘，可售未单列）|https://newhouse.fang.com/loupan/1010130583.htm
大兴区|京玺|415套（房天下网签分析更新2026-08-25：取证712套、已网签415套、可售297套）|297套（房天下网签分析精确列示可售297套）|https://newhouse.fang.com/loupan/1010195613.htm
大兴区|京能·丽墅|约143套（全盘152户，2025-12报道仅剩9套在售，即已网签约143套）|9套（2025-12平台明确"仅剩9套"在售）|https://newhouse.fang.com/loupan/1010130333.htm
大兴区|兴创屹墅|未知（别墅现房，吉屋标售完，全盘网签套数未单列）|售完/极少量尾房（吉屋标售完，新房可售0或极少量）|https://newhouse.fang.com/loupan/1010726037.htm
大兴区|兴创总部公园|未知（商办/写字楼现房，住建委现房签约统计未单列网签套数）|未知（商办现房在售，可售套数未单列）|https://www.163.com/dy/article/L3NPD33L0556OPVJ.html
大兴区|兴创沐春墅|28套（截至2026-08，公开报道"开盘一年网签28套"）|约359套（全盘360户，已网签28，剩余在售约332-359套）|https://newhouse.fang.com/loupan/1010196143.htm
大兴区|兴城之星|已售罄（242套全盘，2026年初报道网签225套、基本售罄）|0（售罄）|https://newhouse.fang.com/loupan/1010194081.htm
大兴区|北京德贤华府|258套（房猫猫累计网签258套，截至2026-08；总户数2146户）|约1888套（2146户-258已网签，含现房在售）|https://newhouse.fang.com/loupan/1010130551.htm
大兴区|北京经开·壹中心|未知（商办/产业园现房，平台不单列单盘网签套数）|未知（商办余房在售，可售套数未单列）|https://www.163.com/dy/article/L3NPD33L0556OPVJ.html
大兴区|北京经开·壹广场|6套（住建委现房签约统计：商业4+办公1+车位1=6套已签约）|未知（商办现房在售，批准销售面积总计约34.5万㎡，单盘可售套数未单列）|https://newhouse.fang.com/loupan/1010127391.htm
大兴区|合生me悦|1145套（截至2025-11公开报道累计网签1145套，全盘商品住宅1190套）|约45套（1190套-1145已网签，少量尾盘在售）|https://newhouse.fang.com/loupan/1010130489.htm
大兴区|和悦春风| 悦境|悦境|未知（限竞房现房，平台未单列单盘网签套数；全盘1914户）|未知（现房尾盘在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010128143.htm
大兴区|和悦春风|悦境|悦境|未知（限竞房现房，平台未单列单盘网签套数；全盘1914户）|未知（现房尾盘在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010128143.htm
大兴区|和悦璞云|未知（限竞房现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1617042.html
大兴区|和裕·林肯时代|未知（商办公寓/LOFT现房，平台未单列单盘网签套数；前期报道已基本售罄尾盘）|售完/极少量尾房（公开报道基本售罄，新房可售0或极少量）|https://newhouse.fang.com/loupan/1010127019.htm
大兴区|壹品兴创·元启|593套（房天下网签分析更新2026-07-23：取证1065套、已网签593套、可售472套）|472套（房天下网签分析精确列示可售472套）|https://newhouse.fang.com/loupan/1010195787.htm
大兴区|大兴发展·梧桐府|43套（截至2026-06公开报道累计网签43套，去化10.6%；首批366套+收官38套=404户）|约361套（404户-43已网签，在售）|https://newhouse.fang.com/loupan/1010196015.htm
大兴区|大兴金茂悦|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010126961.htm
大兴区|天恒世界集|未知（商办公寓/LOFT现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列；部分楼栋余房35/76/102套）|https://newhouse.fang.com/loupan/1010828711.htm
大兴区|恒盛科创中心|未知（商办/产业园2025-12交付现房，平台未单列单盘网签套数）|未知（商办在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010203693.htm
大兴区|招商序|329套（截至2026-06底累计网签329套，大兴/经开区双销冠；总规划972户、685套取证）|约643套（972户-329已网签；或685取证-329=356取证未售，取全盘口径约643）|https://newhouse.fang.com/loupan/1010202369.htm
大兴区|文化都汇|未知（商办现房，住建委显示"因开发企业资质到期暂停预售及合同网上签约"）|售完/暂停网签（楼盘网标售完；住建委页面提示暂停预售及网上签约）|https://newhouse.fang.com/loupan/1010832371.htm
大兴区|新航城世界映|0套（2026-07-25取证169套、7-28开盘，截至2026-08-28未见网签报道）|169套（首批取证4栋169套，全盘288户待后续取证）|https://newhouse.fang.com/loupan/1010195611.htm
大兴区|星光视界中心|未知（商办/写字楼，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://www.163.com/dy/article/L3NK6J08055636MM.html
大兴区|星光视界公园|未知（商办/写字楼现房，楼盘网标售完，平台未单列单盘网签套数）|售完（写字楼现房，参考售完状态）|https://newhouse.fang.com/loupan/1010127509.htm
大兴区|晓月和风|920套（截至2026-03累计网签920套，去化超九成；全盘992户）|约72套（992户-920已网签，尾盘在售，8月报道约70套）|https://newhouse.fang.com/loupan/1010194833.htm
大兴区|橡树湾|514套（橡树湾文园截至2025-11网签514套去化69.55%；一期1449/二期424已清盘尾盘）|约225套（文园739套-514=225未售；一二期零星尾盘）|https://newhouse.fang.com/loupan/1010185781.htm
大兴区|紫金行政公馆|未知（商办公寓现房，住建委未单列单盘网签套数；全盘416户50年商办）|约395套（416户-我爱我家显示115#在售151+11#在售62≈213在售，全盘余房较多；精确可售未单列）|https://newhouse.fang.com/loupan/1010180085.htm
大兴区|绿地·海珀云翡|未知（住宅现房，平台未单列单盘网签套数）|未知（现房尾盘在售，可售套数未单列）|https://bj.loupan.com/info/7113098.html
大兴区|绿地智汇健康城|未知（商办/产业园现房，平台未单列单盘网签套数；全盘规划1586户）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010128025.htm
大兴区|航城壹号|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010128001.htm
大兴区|路劲·御合院|约146套（房天下网签分析：取证178套、已网签约146套、可售约32套；平台未单列精确）|约32套（房天下网签分析列示可售约32套；平台未单列精确）|https://newhouse.fang.com/loupan/1010128649.htm
密云区|万科弗农小镇|未知（别墅/住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1411039.html
密云区|奥园雲水院|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1453039.html
密云区|密云朗山产业园|未知（产业园/商办，平台未单列单盘网签套数）|未知（产业园在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1623040.html
平谷区|北京城建·樂知筑|69套（房天下网签分析：取证634套、已网签69套、可售565套，截至2026-08）|565套（房天下网签分析精确列示可售565套）|https://newhouse.fang.com/loupan/1010130409.htm
平谷区|和棠瑞著|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1485042.html
平谷区|天润香墅湾1号|未知（住宅现房，平台未单列单盘网签套数）|未知（现房尾盘在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010710907.htm
平谷区|都丽华府|未知（住宅现房，平台未单列单盘网签套数）|未知（现房尾盘在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010122573.htm
平谷区|首创住总·禧瑞金海|未知（别墅/住宅现房，平台未单列单盘网签套数）|未知（别墅在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010126835.htm
平谷区|首城汇景墅|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1430042.html
延庆区|中建·臻源府|295套（房天下网签分析：取证318套、已网签295套、可售23套，截至2026-08）|23套（房天下网签分析精确列示可售23套）|https://newhouse.fang.com/loupan/1010203641.htm
延庆区|北京住总山澜阙府|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010130579.htm
怀柔区|北京城建·府前龙樾|未知（住宅现房，平台未单列单盘网签套数）|未知（现房尾盘在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010127995.htm
怀柔区|北科建翡翠华府|未知（住宅现房，平台未单列单盘网签套数）|未知（现房尾盘在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010128287.htm
怀柔区|天恒·半山世家|未知（别墅现房，平台未单列单盘网签套数）|售完/极少量尾房（吉屋标售完，新房可售0或极少量）|https://newhouse.fang.com/loupan/1010712439.htm
怀柔区|长城璞院|未知（别墅现房，平台未单列单盘网签套数）|售完/极少量尾房（吉屋标售完，新房可售0或极少量）|https://newhouse.fang.com/loupan/1010130235.htm
房山区|万科七橡墅|未知（住宅/别墅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010123999.htm
房山区|中海寰宇视界SMART墅|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010130655.htm
房山区|云尚苑(长海御墅三期)|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1621034.html
房山区|北京城建·和知筑|铂瑞|铂瑞|192套（房天下网签分析：取证384套、已网签192套、可售192套，截至2026-08）|192套（房天下网签分析精确列示可售192套）|https://newhouse.fang.com/loupan/1010204021.htm
房山区|北京城建·文华知筑|258套（房天下网签分析：取证506套、已网签258套、可售248套，截至2026-08）|248套（房天下网签分析精确列示可售248套）|https://newhouse.fang.com/loupan/1010195697.htm
房山区|北京建工·揽星樾|未知（住宅在售，平台未单列单盘网签套数）|未知（在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010194113.htm
房山区|天恒·京西悦府|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010123387.htm
房山区|天恒·摩墅|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1436037.html
房山区|天恒乐墅|未知（别墅现房，吉屋标尾盘在售，平台未单列单盘网签套数）|少量（吉屋标尾盘在售，具体套数未单列）|https://newhouse.fang.com/loupan/1010814003.htm
房山区|广阳郡九号|386套（房天下网签分析：取证968套、已网签386套、可售582套，截至2026-08）|582套（房天下网签分析精确列示可售582套）|https://newhouse.fang.com/loupan/1010794565.htm
房山区|新城投·御河园二期|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1656037.html
房山区|熙悦天街|未知（商办/LOFT公寓，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1558037.html
房山区|熙湖悦著|未知（住宅/别墅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010124315.htm
房山区|璟贤瑞庭|212套（房天下网签分析：取证762套、已网签212套、可售550套，截至2026-08）|550套（房天下网签分析精确列示可售550套）|https://newhouse.fang.com/loupan/1010196155.htm
房山区|金地·璟宸|230套（房天下网签分析：取证772套、已网签230套、可售542套，截至2026-08）|542套（房天下网签分析精确列示可售542套）|https://newhouse.fang.com/loupan/1010130453.htm
房山区|金隅金林嘉苑|未知（共有产权房现房，平台未单列单盘网签套数）|未知（共有产权房余房申购/在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010128089.htm
房山区|韩建慧园|未知（共有产权房现房，平台未单列单盘网签套数）|未知（共有产权房余房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1593037.html
昌平区|中海寰宇未来|491套（房天下网签分析：取证1036套、已网签491套、可售545套，截至2026-08）|545套（房天下网签分析精确列示可售545套）|https://newhouse.fang.com/loupan/1010195637.htm
昌平区|凯德麓语|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010791817.htm
昌平区|北京建工·嘉境里|518套（房天下网签分析：取证1062套、已网签518套、可售544套，截至2026-08）|544套（房天下网签分析精确列示可售544套）|https://newhouse.fang.com/loupan/1010195605.htm
昌平区|国瑞樾墅|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010188395.htm
昌平区|天樾书院|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1508910.html
昌平区|奥森春晓|485套（房天下网签分析：取证620套、已网签485套、可售135套，截至2026-08）|135套（房天下网签分析精确列示可售135套）|https://newhouse.fang.com/loupan/1010130571.htm
昌平区|建发城建·文源府|338套（房天下网签分析：取证870套、已网签338套、可售532套，截至2026-08）|532套（房天下网签分析精确列示可售532套）|https://newhouse.fang.com/loupan/1010188647.htm
昌平区|御汤山|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010671809.htm
昌平区|梧桐山语|348套（房天下网签分析：取证936套、已网签348套、可售588套，截至2026-08）|588套（房天下网签分析精确列示可售588套）|https://newhouse.fang.com/loupan/1010191289.htm
昌平区|温哥华森林·西郡|约270套（房天下网签分析：取证441套、已网签约270套、可售约171套，平台标约数未单列精确）|约171套（房天下网签分析标约171套，平台未单列精确）|https://newhouse.fang.com/loupan/1010195283.htm
昌平区|玖瀛府|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1550909.html
昌平区|珠江·峯汇国际|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010128443.htm
昌平区|硅谷SOHO|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010122645.htm
昌平区|翡翠公园|未知（住宅/别墅现房，吉屋标售完，平台未单列单盘网签套数）|售完/极少量尾房（吉屋标售完，新房可售0或极少量）|https://newhouse.fang.com/loupan/1010122377.htm
昌平区|金隅上城郡|约800套（房猫猫口径：全盘约1100户、已网签约800套，平台未单列精确；吉屋标售完）|售完（吉屋标售完，新房可售0或极少量；约300套余房为二手）|https://newhouse.fang.com/loupan/1010123441.htm
朝阳区|leisure览悦|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010195377.htm
朝阳区|中建璞园|460套（房天下网签分析：取证980套、已网签460套、可售520套，截至2026-08）|520套（房天下网签分析精确列示可售520套）|https://newhouse.fang.com/loupan/1010193867.htm
朝阳区|中建璞园PARK|178套（房天下网签分析：取证440套、已网签178套、可售262套，截至2026-08）|262套（房天下网签分析精确列示可售262套）|https://newhouse.fang.com/loupan/1010196053.htm
朝阳区|中绿东岳府|约380套（房天下网签分析：全盘440套、已网签约380套、可售约60套，平台标约数未单列精确）|约60套（房天下网签分析标约60套，平台未单列精确）|https://newhouse.fang.com/loupan/1010130531.htm
朝阳区|京投发展·北熙区|326套（房天下网签分析：取证1618套、已网签326套、可售1292套，截至2026-08）|1292套（房天下网签分析精确列示可售1292套）|https://newhouse.fang.com/loupan/1010185949.htm
朝阳区|京能龙湖熙上|218套（房天下网签分析：取证556套、已网签218套、可售338套，截至2026-08）|338套（房天下网签分析精确列示可售338套）|https://newhouse.fang.com/loupan/1010185971.htm
朝阳区|亮马·福景苑|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010538583.htm
朝阳区|保利·朝观天珺|约110套（房天下网签分析：取证472套、已网签约110套、可售约362套，2026-07取证，平台标约数未单列精确）|约362套（房天下网签分析标约362套，平台未单列精确）|https://newhouse.fang.com/loupan/1010202405.htm
朝阳区|保利·锦上二期|420套（房天下网签分析：取证890套、已网签420套、可售470套，截至2026-08）|470套（房天下网签分析精确列示可售470套）|https://newhouse.fang.com/loupan/1010186071.htm
朝阳区|傲云|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010130515.htm
朝阳区|建国门9号|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010185769.htm
朝阳区|御翠园|约640套（房天下网签分析：全盘约900套、已网签约640套、可售约260套，平台标约数未单列精确）|约260套（房天下网签分析标约260套，平台未单列精确）|https://newhouse.fang.com/loupan/1010188705.htm
朝阳区|恒基·天汇|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010187361.htm
朝阳区|新城国际23|未知（商办/住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010187357.htm
朝阳区|朝阳·中建星光里|312套（房天下网签分析：取证702套、已网签312套、可售390套，截至2026-08）|390套（房天下网签分析精确列示可售390套）|https://newhouse.fang.com/loupan/1010188917.htm
朝阳区|朝阳一墅|约120套（房天下网签分析：取证约360套、已网签约120套、可售约240套，平台标约数未单列精确）|约240套（房天下网签分析标约240套，平台未单列精确）|https://newhouse.fang.com/loupan/1010130527.htm
朝阳区|朝阳壹号|358套（房天下网签分析：取证890套、已网签358套、可售532套，截至2026-08）|532套（房天下网签分析精确列示可售532套）|https://newhouse.fang.com/loupan/1010130533.htm
朝阳区|樾长安|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010186089.htm
朝阳区|润泽御府|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010740585.htm
朝阳区|玺悦朝阳|286套（房天下网签分析：取证696套、已网签286套、可售410套，截至2026-08）|410套（房天下网签分析精确列示可售410套）|https://newhouse.fang.com/loupan/1010188797.htm
朝阳区|盈科中心|约37套（房猫猫口径：全盘约40套公寓、已网签约37套，平台未单列精确）|约3套（全盘约40套-约37已网签，余房在售）|https://newhouse.fang.com/loupan/1010103724.htm
朝阳区|紫京宸园|约160套（房天下网签分析：取证约670套、已网签约160套、可售约510套，2026-08取证，平台标约数未单列精确）|约510套（房天下网签分析标约510套，平台未单列精确）|https://newhouse.fang.com/loupan/1010203671.htm
朝阳区|缦合·北京|未知（住宅/别墅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010127879.htm
朝阳区|金桐拾贰|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010188385.htm
朝阳区|金茂·满曜|约120套（房天下网签分析：取证约520套、已网签约120套、可售约400套，平台标约数未单列精确）|约400套（房天下网签分析标约400套，平台未单列精确）|https://newhouse.fang.com/loupan/1010203341.htm
海淀区|万科翡翠书院|未知（住宅/别墅现房，吉屋标售完，平台未单列单盘网签精确套数）|售完/极少量尾房（吉屋标售完，新房可售0或极少量）|https://newhouse.fang.com/loupan/1010123869.htm
海淀区|世茂西山龙胤|约5套（房猫猫口径：全盘约45套合院、已网签约5套，平台未单列精确）|约40套（全盘约45套-约5已网签，余房在售）|https://newhouse.fang.com/loupan/1010124295.htm
石景山区|中海·长安源境|421套（房天下网签分析：取证886套、已网签421套、可售465套，截至2026-08）|465套（房天下网签分析精确列示可售465套）|https://newhouse.fang.com/loupan/1010195915.htm
石景山区|中海时代广场|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010185899.htm
石景山区|中海长安誉|378套（房天下网签分析：取证838套、已网签378套、可售460套，截至2026-08）|460套（房天下网签分析精确列示可售460套）|https://newhouse.fang.com/loupan/1010188789.htm
石景山区|绿城·西山云庐|约150套（房天下网签分析：取证约440套、已网签约150套、可售约290套，平台标约数未单列精确）|约290套（房天下网签分析标约290套，平台未单列精确）|https://newhouse.fang.com/loupan/1010186075.htm
石景山区|长安悦玺|365套（房天下网签分析：取证796套、已网签365套、可售431套，截至2026-08）|431套（房天下网签分析精确列示可售431套）|https://newhouse.fang.com/loupan/1010130567.htm
石景山区|长安润璟|302套（房天下网签分析：取证688套、已网签302套、可售386套，截至2026-08）|386套（房天下网签分析精确列示可售386套）|https://newhouse.fang.com/loupan/1010186073.htm
西城区|一瓶·九尺|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1622095.html
西城区|北京三统碑综合大厦|未知（商办/写字楼现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010204035.htm
西城区|国安府·观玺|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010194629.htm
西城区|天安国汇|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010164943.htm
西城区|玺源台·鸿玺|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1654095.html
通州区|万科东庐|489套（房天下网签分析：取证1042套、已网签489套、可售553套，截至2026-08）|553套（房天下网签分析精确列示可售553套）|https://newhouse.fang.com/loupan/1010194851.htm
通州区|万科大都会滨江|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010123337.htm
通州区|东亚尚品台湖|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1446092.html
通州区|京贸国际公馆|约210套（房天下网签分析：取证约480套、已网签约210套、可售约270套，平台标约数未单列精确）|约270套（房天下网签分析标约270套，平台未单列精确）|https://newhouse.fang.com/loupan/1010750795.htm
通州区|京贸国际城|约320套（房天下网签分析：全盘约900套、已网签约320套、可售约580套，平台标约数未单列精确）|约580套（房天下网签分析标约580套，平台未单列精确）|https://newhouse.fang.com/loupan/1010651543.htm
通州区|北京·东湾|约180套（房天下网签分析：全盘约660套、已网签约180套、可售约480套，平台标约数未单列精确）|约480套（房天下网签分析标约480套，平台未单列精确）|https://newhouse.fang.com/loupan/1010127157.htm
通州区|北京城建·国誉朝华|312套（房天下网签分析：取证654套、已网签312套、可售342套，截至2026-08）|342套（房天下网签分析精确列示可售342套）|https://newhouse.fang.com/loupan/1010188799.htm
通州区|北京城建·国誉颂|196套（房天下网签分析：取证约780套、已网签196套、可售约584套，2026-06取证，平台标约数未单列精确）|约584套（房天下网签分析标约584套，平台未单列精确）|https://newhouse.fang.com/loupan/1010196263.htm
通州区|北京壹号总部|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010124143.htm
通州区|北投和璟|约350套（房天下网签分析：全盘约760套、已网签约350套、可售约410套，平台标约数未单列精确）|约410套（房天下网签分析标约410套，平台未单列精确）|https://newhouse.fang.com/loupan/1010204439.htm
通州区|城市之光·光年|约260套（房天下网签分析：取证约640套、已网签约260套、可售约380套，平台标约数未单列精确）|约380套（房天下网签分析标约380套，平台未单列精确）|https://newhouse.fang.com/loupan/1010188613.htm
通州区|复兴华府|约140套（房天下网签分析：全盘约560套、已网签约140套、可售约420套，平台标约数未单列精确）|约420套（房天下网签分析标约420套，平台未单列精确）|https://newhouse.fang.com/loupan/1010195643.htm
通州区|复地通运府|约80套（房天下网签分析：取证约560套、已网签约80套、可售约480套，平台标约数未单列精确）|约480套（房天下网签分析标约480套，平台未单列精确）|https://newhouse.fang.com/loupan/1010128627.htm
通州区|帅府·君园|约160套（房天下网签分析：全盘约420套、已网签约160套、可售约260套，平台标约数未单列精确）|约260套（房天下网签分析标约260套，平台未单列精确）|https://newhouse.fang.com/loupan/1010185777.htm
通州区|帅府·潞苑|约280套（房天下网签分析：全盘约860套、已网签约280套、可售约580套，平台标约数未单列精确）|约580套（房天下网签分析标约580套，平台未单列精确）|https://newhouse.fang.com/loupan/1010128767.htm
通州区|建投国贸·瑨上|约190套（房天下网签分析：取证约680套、已网签约190套、可售约490套，平台标约数未单列精确）|约490套（房天下网签分析标约490套，平台未单列精确）|https://newhouse.fang.com/loupan/1010195343.htm
通州区|招商云璟揽阅|423套（房天下网签分析：取证896套、已网签423套、可售473套，截至2026-08）|473套（房天下网签分析精确列示可售473套）|https://newhouse.fang.com/loupan/1010196305.htm
